FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.31
50.84, 0.00, 0.00, 16.87
50.73, 0.00, 0.00, 16.86
50.75, 0.00, 0.00, 16.85
51.31, 0.00, 0.00, 16.84
51.17, 0.00, 0.00, 16.84
50.47, 0.00, 0.00, 16.83
50.36, 0.00, 0.00, 16.82
50.53, 0.00, 0.00, 16.82
50.89, 0.00, 0.00, 16.81
52.23, 0.00, 0.00, 16.80
52.30, 0.00, 0.00, 16.80
52.41, 0.00, 0.00, 16.79
52.32, 0.00, 0.00, 16.79
52.54, 0.00, 0.00, 16.78
51.93, 0.00, 0.00, 16.77
52.04, 0.00, 0.00, 16.77
51.90, 0.00, 0.00, 16.76
51.88, 0.00, 0.00, 16.76
51.81, 0.00, 0.00, 16.75
51.66, 0.00, 0.00, 16.74
51.44, 0.00, 0.00, 16.74
51.57, 0.00, 0.00, 16.73
51.59, 0.00, 0.00, 16.73
49.96, 0.00, 0.00, 16.64
44.32, 0.00, 0.00, 16.40
34.82, 0.00, 0.00, 16.19
30.55, 0.00, 0.00, 16.00
32.59, 0.00, 0.00, 15.81
0.00, 0.00, 0.00, 15.63
0.00, 0.00, 0.00, 15.45
0.00, 0.00, 0.00, 15.28
0.00, 0.00, 0.00, 15.13
0.00, 0.00, 0.00, 14.98
0.00, 0.00, 0.00, 14.85
0.00, 0.00, 0.00, 14.74
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.65
0.00, 0.00, 0.00, 14.61
0.00, 0.00, 0.00, 14.48
0.00, 0.00, 0.00, 14.33
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.02
0.00, 0.00, 0.00, 13.88
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.59
0.00, 0.00, 0.00, 13.45
0.00, 0.00, 0.00, 13.45
0.00, 0.00, 0.00, 13.48
0.00, 0.00, 0.00, 13.51
0.00, 0.00, 0.00, 13.52
0.00, 0.00, 0.00, 13.52
0.00, 0.00, 0.00, 13.52
0.00, 0.00, 0.00, 13.53
0.00, 0.00, 0.00, 13.54
0.00, 0.00, 0.00, 13.62
0.00, 0.00, 0.00, 13.64
0.00, 0.00, 0.00, 13.65
0.00, 0.00, 0.00, 13.67
0.00, 0.00, 0.00, 13.67
0.00, 0.00, 0.00, 13.68
0.00, 0.00, 0.00, 13.68
0.00, 0.00, 0.00, 13.68
0.00, 0.00, 0.00, 13.68
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.70
0.00, 0.00, 0.00, 13.70
0.00, 0.00, 0.00, 13.70
0.00, 0.00, 0.00, 13.70
0.00, 0.00, 0.00, 13.71
0.00, 0.00, 0.00, 13.71
0.00, 0.00, 0.00, 13.71
0.00, 0.00, 0.00, 13.72
0.00, 0.00, 0.00, 13.72
0.00, 0.00, 0.00, 13.72
0.00, 0.00, 0.00, 13.72
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.74
0.00, 0.00, 0.00, 13.74
0.00, 0.00, 0.00, 13.74
0.00, 0.00, 0.00, 13.76
0.00, 0.00, 0.00, 13.92
0.00, 0.00, 0.00, 14.09
0.00, 0.00, 0.00, 14.25
0.00, 0.00, 0.00, 14.41
0.00, 0.00, 0.00, 14.58
0.00, 0.00, 0.00, 14.74
0.00, 0.00, 0.00, 14.81
0.00, 0.00, 0.00, 14.85
0.00, 0.00, 0.00, 14.87
0.00, 0.00, 0.00, 14.94
0.00, 0.00, 0.00, 15.06
0.00, 0.00, 0.00, 15.19
0.00, 0.00, 0.00, 15.34
0.00, 0.00, 0.00, 15.49
0.00, 0.00, 0.00, 15.65
0.00, 0.00, 0.00, 15.82
0.00, 0.00, 0.00, 15.99
0.00, 0.00, 0.00, 16.16
0.00, 0.00, 0.00, 16.32
0.00, 0.00, 0.00, 16.49
0.00, 0.00, 0.00, 16.66
0.00, 0.00, 0.00, 16.83
0.00, 0.00, 0.00, 16.94
0.00, 0.00, 0.00, 16.91
0.00, 46.41, 57.22, 16.84
0.00, 43.57, 64.69, 16.80
0.00, 46.46, 65.17, 16.76
0.00, 65.28, 66.74, 16.74
0.00, 66.75, 69.82, 16.72
0.00, 66.99, 70.16, 16.70
0.00, 67.18, 63.90, 16.70
0.00, 67.69, 59.25, 16.69
0.00, 68.60, 65.27, 16.68
0.00, 68.52, 68.32, 16.67
0.00, 68.55, 58.72, 16.66
0.00, 67.93, 54.91, 16.66
0.00, 67.10, 54.17, 16.65
0.00, 66.40, 55.22, 16.64
0.00, 64.34, 51.17, 16.64
0.00, 63.21, 52.04, 16.63
0.00, 60.16, 50.36, 16.63
0.00, 59.25, 51.54, 16.62
0.00, 59.38, 53.28, 16.61
0.00, 62.49, 54.41, 16.61
0.00, 62.97, 58.12, 16.60
0.00, 62.94, 58.04, 16.60
0.00, 63.05, 55.30, 16.59
0.00, 63.61, 56.46, 16.59
0.00, 63.91, 55.80, 16.58
0.00, 63.86, 55.54, 16.58
0.00, 63.43, 54.25, 16.57
0.00, 62.81, 54.46, 16.57
0.00, 55.63, 55.33, 16.54
0.00, 47.37, 0.00, 16.33
0.00, 47.05, 0.00, 16.12
0.00, 41.24, 0.00, 15.92
0.00, 0.00, 0.00, 15.74
0.00, 0.00, 0.00, 15.56
0.00, 0.00, 0.00, 15.39
0.00, 0.00, 0.00, 15.23
0.00, 0.00, 0.00, 15.08
0.00, 0.00, 0.00, 14.94
0.00, 0.00, 0.00, 14.81
0.00, 0.00, 0.00, 14.71
0.00, 0.00, 0.00, 14.67
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.63
0.00, 0.00, 0.00, 14.47
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.15
0.00, 0.00, 0.00, 14.00
0.00, 0.00, 0.00, 13.84
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.55
0.00, 0.00, 0.00, 13.41
0.00, 0.00, 0.00, 13.27
0.00, 0.00, 0.00, 13.20
0.00, 0.00, 0.00, 13.22
0.00, 0.00, 0.00, 13.24
0.00, 0.00, 0.00, 13.24
0.00, 0.00, 0.00, 13.25
0.00, 0.00, 0.00, 13.26
0.00, 0.00, 0.00, 13.26
0.00, 0.00, 0.00, 13.26
0.00, 0.00, 0.00, 13.27
0.00, 0.00, 0.00, 13.27
0.00, 0.00, 0.00, 13.28
0.00, 0.00, 0.00, 13.29
0.00, 0.00, 0.00, 13.29
0.00, 0.00, 0.00, 13.29
0.00, 0.00, 0.00, 13.30
0.00, 0.00, 0.00, 13.30
0.00, 0.00, 0.00, 13.31
0.00, 0.00, 0.00, 13.31
0.00, 0.00, 0.00, 13.31
0.00, 0.00, 0.00, 13.32
0.00, 0.00, 0.00, 13.32
0.00, 0.00, 0.00, 13.33
0.00, 0.00, 0.00, 13.39
0.00, 0.00, 0.00, 13.39
0.00, 0.00, 0.00, 13.41
0.00, 0.00, 0.00, 13.42
0.00, 0.00, 0.00, 13.43
0.00, 0.00, 0.00, 13.44
0.00, 0.00, 0.00, 13.45
0.00, 0.00, 0.00, 13.48
0.00, 0.00, 0.00, 13.51
0.00, 0.00, 0.00, 13.52
0.00, 0.00, 0.00, 13.53
0.00, 0.00, 0.00, 13.54
0.00, 0.00, 0.00, 13.54
0.00, 0.00, 0.00, 13.55
0.00, 0.00, 0.00, 13.55
0.00, 0.00, 0.00, 13.55
0.00, 0.00, 0.00, 13.55
0.00, 0.00, 0.00, 13.55
0.00, 0.00, 0.00, 13.56
