FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.67
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 16.80
86.98, 93.79, 111.48, 16.72
77.01, 92.16, 101.96, 16.68
79.57, 90.95, 93.67, 16.65
76.68, 85.83, 86.39, 16.62
73.83, 89.42, 84.47, 16.61
76.01, 89.26, 77.95, 16.60
77.58, 88.99, 69.69, 16.59
77.65, 86.47, 79.95, 16.58
76.21, 82.45, 78.16, 16.58
76.04, 83.53, 65.40, 16.57
75.48, 85.51, 68.30, 16.57
75.09, 72.40, 66.40, 16.56
74.82, 76.05, 63.38, 16.56
74.71, 78.19, 69.45, 16.55
73.65, 80.23, 73.00, 16.55
73.07, 79.00, 70.79, 16.54
72.54, 77.23, 74.21, 16.54
72.83, 77.07, 74.16, 16.54
73.32, 70.48, 76.13, 16.53
72.24, 75.17, 73.42, 16.53
69.96, 71.04, 69.72, 16.52
70.07, 65.49, 72.92, 16.52
70.29, 64.98, 74.37, 16.52
67.24, 62.92, 78.68, 16.52
66.44, 60.37, 78.61, 16.51
