FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.54
0.00, 0.00, 0.00, 14.55
0.00, 0.00, 0.00, 14.55
0.00, 0.00, 0.00, 14.54
0.00, 0.00, 0.00, 14.55
0.00, 0.00, 0.00, 14.54
0.00, 0.00, 0.00, 14.55
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 14.53
0.00, 0.00, 0.00, 14.52
0.00, 0.00, 0.00, 14.52
0.00, 0.00, 0.00, 14.54
0.00, 0.00, 0.00, 14.55
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 14.55
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 16.62
0.00, 0.00, 0.00, 16.88
0.00, 0.00, 0.00, 16.82
0.00, 0.00, 0.00, 16.79
0.00, 0.00, 0.00, 16.71
0.00, 0.00, 0.00, 16.69
0.00, 0.00, 0.00, 16.67
0.00, 0.00, 0.00, 16.70
0.00, 0.00, 0.00, 16.74
0.00, 0.00, 0.00, 17.11
0.00, 0.00, 0.00, 16.32
0.00, 0.00, 0.00, 15.82
0.00, 0.00, 0.00, 17.13
86.22, 0.00, 93.36, 16.62
83.11, 82.35, 86.18, 16.56
80.24, 86.98, 79.05, 16.54
89.85, 123.16, 122.68, 16.94
91.37, 121.29, 120.03, 17.02
88.81, 119.01, 118.95, 16.95
88.66, 119.52, 117.58, 16.92
87.99, 120.81, 118.11, 16.90
88.43, 119.28, 117.98, 16.88
88.61, 119.60, 116.77, 16.87
88.12, 119.12, 114.93, 16.86
88.17, 118.85, 115.61, 16.84
87.64, 120.06, 116.74, 16.83
87.17, 119.92, 115.69, 16.82
87.44, 119.39, 115.48, 16.81
87.33, 119.68, 115.56, 16.80
86.58, 119.73, 114.79, 16.79
86.31, 119.28, 114.37, 16.77
86.47, 118.31, 113.66, 16.76
86.53, 117.75, 112.56, 16.75
86.27, 118.34, 111.61, 16.74
85.67, 118.42, 110.85, 16.73
85.25, 118.82, 109.72, 16.72
85.25, 118.98, 109.51, 16.71
85.43, 118.82, 109.88, 16.70
85.30, 117.70, 108.90, 16.69
85.25, 117.51, 109.09, 16.69
85.74, 117.64, 108.56, 16.68
85.94, 118.26, 109.53, 16.67
86.00, 117.54, 108.82, 16.66
85.94, 116.79, 106.61, 16.65
85.85, 116.46, 106.27, 16.64
85.72, 116.92, 106.09, 16.63
85.58, 117.13, 106.25, 16.62
85.23, 116.41, 106.64, 16.62
85.27, 116.73, 107.38, 16.61
85.12, 116.38, 107.14, 16.60
85.21, 116.36, 106.35, 16.59
85.19, 114.45, 104.98, 16.59
84.96, 112.39, 104.54, 16.58
85.43, 114.16, 102.04, 16.57
86.14, 114.75, 103.30, 16.56
86.51, 115.10, 102.28, 16.55
86.11, 115.26, 103.14, 16.54
85.76, 113.97, 103.22, 16.54
85.69, 113.01, 103.46, 16.53
84.92, 112.23, 103.27, 16.53
85.78, 112.47, 102.04, 16.52
85.67, 111.99, 102.28, 16.51
84.92, 112.20, 102.22, 16.50
84.99, 109.39, 102.22, 16.50
83.71, 108.32, 101.96, 16.49
84.17, 108.91, 99.59, 16.48
85.21, 108.96, 98.36, 16.48
85.50, 108.08, 99.54, 16.47
85.47, 110.25, 100.43, 16.46
85.85, 110.35, 100.46, 16.46
85.61, 110.43, 100.96, 16.45
85.50, 109.76, 100.83, 16.44
84.24, 109.90, 100.91, 16.44
84.59, 109.36, 99.83, 16.43
84.52, 107.49, 101.20, 16.43
84.10, 107.06, 100.28, 16.42
84.90, 107.89, 98.93, 16.41
83.82, 106.68, 99.80, 16.41
83.57, 107.65, 99.17, 16.40
80.77, 108.45, 98.99, 16.40
83.15, 108.10, 97.54, 16.39
80.88, 108.72, 99.20, 16.39
80.48, 108.61, 96.04, 16.38
83.75, 107.65, 96.38, 16.38
84.06, 106.90, 93.91, 16.37
84.08, 103.76, 94.91, 16.36
83.75, 104.83, 96.09, 16.36
82.82, 105.32, 94.41, 16.35
81.72, 101.48, 93.12, 16.35
82.51, 101.70, 92.78, 16.34
80.30, 102.69, 94.36, 16.34
81.80, 104.16, 95.86, 16.33
82.49, 104.22, 96.28, 16.33
83.42, 105.66, 94.67, 16.32
83.48, 105.10, 93.12, 16.32
81.87, 105.56, 89.62, 16.31
81.54, 105.15, 89.78, 16.31
81.23, 106.36, 90.83, 16.30
81.21, 102.02, 92.12, 16.30
80.04, 104.14, 92.20, 16.29
79.70, 103.84, 93.12, 16.29
79.20, 102.64, 91.89, 16.28
78.42, 103.06, 89.26, 16.28
77.10, 101.99, 87.68, 16.27
79.37, 102.29, 83.00, 16.27
77.56, 101.24, 81.21, 16.26
78.00, 98.59, 84.47, 16.26
78.62, 98.03, 82.81, 16.26
81.14, 98.86, 82.71, 16.25
81.41, 100.49, 79.32, 16.25
79.15, 100.65, 79.81, 16.25
80.88, 98.59, 86.68, 16.24
77.80, 99.42, 88.70, 16.23
78.60, 97.09, 88.76, 16.23
79.70, 96.82, 87.86, 16.23
80.04, 96.87, 84.79, 16.22
79.51, 96.12, 81.63, 16.22
78.09, 93.63, 80.87, 16.22
79.15, 96.39, 74.84, 16.21
78.49, 95.80, 77.18, 16.21
79.40, 95.05, 74.66, 16.21
78.60, 90.49, 73.56, 16.20
81.23, 91.03, 73.74, 16.20
80.28, 90.68, 73.16, 16.19
77.58, 94.22, 72.21, 16.19
74.71, 90.28, 72.24, 16.19
74.11, 90.98, 69.43, 16.18
72.81, 91.43, 69.72, 16.18
72.99, 88.83, 67.40, 16.18
74.38, 88.40, 68.01, 16.17
74.78, 89.02, 70.82, 16.17
78.18, 90.63, 70.06, 16.17
79.77, 90.07, 69.72, 16.16
75.13, 86.74, 69.27, 16.16
76.83, 88.86, 67.48, 16.16
75.88, 89.99, 68.64, 16.15
76.06, 88.14, 70.87, 16.15
76.06, 90.55, 65.43, 16.15
76.70, 87.90, 68.51, 16.14
77.94, 90.28, 67.37, 16.14
77.21, 87.87, 59.98, 16.14
76.04, 83.47, 60.35, 16.13
73.23, 85.54, 53.94, 16.13
75.82, 85.78, 56.88, 16.13
73.01, 83.34, 61.51, 16.13
74.71, 80.07, 59.85, 16.12
79.66, 81.73, 62.67, 16.12
72.77, 84.38, 62.22, 16.12
74.67, 80.87, 64.53, 16.12
75.00, 81.97, 61.25, 16.11
75.99, 77.01, 65.56, 16.11
75.09, 73.50, 68.82, 16.11
74.42, 71.06, 70.16, 16.11
76.66, 72.89, 69.93, 16.10
67.70, 78.78, 67.85, 16.10
70.56, 73.88, 60.96, 16.10
74.33, 74.28, 66.32, 16.10
71.70, 65.44, 65.93, 16.09
65.67, 54.40, 65.61, 16.09
68.12, 64.50, 59.43, 16.09
65.43, 65.46, 65.72, 16.09
61.89, 66.88, 60.85, 16.09
64.81, 63.45, 65.40, 16.09
71.44, 54.40, 64.67, 16.08
68.01, 61.79, 67.56, 16.08
71.46, 61.31, 74.06, 16.08
69.07, 53.51, 64.43, 16.08
62.40, 55.71, 62.56, 16.08
69.67, 61.85, 61.77, 16.07
72.10, 56.08, 59.62, 16.07
70.73, 53.51, 53.80, 16.07
73.45, 61.01, 50.52, 16.07
69.78, 60.96, 52.31, 16.07
75.40, 56.94, 50.36, 16.07
69.41, 61.52, 43.52, 16.07
67.22, 58.09, 0.00, 16.07
71.35, 58.09, 50.65, 16.07
68.48, 52.57, 0.00, 16.07
63.84, 55.41, 0.00, 16.06
62.42, 46.06, 0.00, 16.07
71.62, 46.44, 0.00, 16.07
67.53, 46.27, 0.00, 16.06
65.14, 40.94, 0.00, 16.06
67.90, 40.65, 0.00, 16.06
63.95, 42.23, 0.00, 16.06
67.33, 42.09, 0.00, 16.06
69.05, 42.26, 0.00, 16.06
67.26, 42.20, 0.00, 16.06
66.62, 42.15, 0.00, 16.06
66.25, 42.15, 0.00, 16.06
68.32, 42.01, 0.00, 16.06
64.50, 41.80, 0.00, 16.06
64.85, 42.01, 0.00, 16.06
63.31, 41.93, 0.00, 16.06
64.08, 41.93, 0.00, 16.06
