FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
89.67, 104.97, 89.91, 16.82
82.11, 111.53, 96.96, 16.76
80.19, 106.41, 89.65, 16.73
79.66, 105.02, 86.15, 16.71
85.41, 112.77, 112.72, 16.93
85.36, 126.06, 113.27, 16.91
84.30, 124.93, 108.88, 16.83
84.01, 121.90, 105.80, 16.81
84.06, 123.11, 105.19, 16.79
83.90, 123.03, 99.36, 16.77
83.84, 121.80, 101.12, 16.76
83.84, 122.23, 101.07, 16.75
83.71, 121.50, 98.51, 16.75
83.79, 121.40, 97.83, 16.74
83.88, 121.40, 98.72, 16.73
83.77, 120.56, 98.41, 16.73
83.68, 120.11, 95.99, 16.72
83.64, 120.43, 95.44, 16.72
83.75, 120.48, 95.46, 16.71
83.71, 120.86, 95.33, 16.71
83.79, 120.54, 95.28, 16.70
83.88, 120.78, 93.54, 16.69
83.51, 120.54, 91.60, 16.69
83.20, 120.11, 94.70, 16.69
83.44, 120.59, 95.46, 16.68
83.26, 120.48, 96.65, 16.68
83.26, 120.38, 97.65, 16.69
82.89, 120.38, 98.12, 16.67
82.73, 120.11, 97.51, 16.66
82.62, 119.68, 96.73, 16.66
82.56, 120.22, 96.54, 16.65
82.82, 120.56, 97.41, 16.65
82.42, 120.22, 98.33, 16.65
82.45, 120.73, 98.93, 16.64
82.31, 121.02, 96.67, 16.64
82.29, 120.59, 94.49, 16.63
82.20, 120.24, 93.41, 16.63
82.05, 120.08, 95.04, 16.63
81.96, 119.47, 95.67, 16.62
82.11, 119.97, 95.59, 16.62
82.07, 119.44, 92.02, 16.61
82.25, 119.22, 87.86, 16.61
82.22, 119.41, 91.36, 16.61
81.83, 119.14, 91.15, 16.60
83.26, 118.90, 91.41, 16.60
82.82, 119.06, 92.44, 16.60
83.77, 119.39, 89.23, 16.59
83.59, 119.20, 88.97, 16.59
83.59, 118.85, 90.60, 16.59
84.70, 118.96, 89.97, 16.58
85.10, 119.22, 90.81, 16.58
84.90, 118.77, 89.84, 16.58
84.72, 118.42, 90.94, 16.57
84.79, 117.56, 88.31, 16.57
84.39, 117.21, 88.57, 16.57
84.35, 117.96, 88.13, 16.58
84.15, 118.13, 89.91, 16.56
83.86, 118.05, 88.70, 16.57
82.14, 118.23, 90.60, 16.55
81.96, 118.37, 88.76, 16.55
83.17, 117.99, 89.26, 16.55
83.97, 116.65, 88.57, 16.54
84.12, 116.62, 88.05, 16.54
84.94, 116.22, 86.65, 16.54
85.69, 116.38, 89.34, 16.53
85.80, 117.43, 88.47, 16.53
85.12, 116.95, 89.36, 16.53
83.95, 115.85, 89.52, 16.52
82.98, 117.46, 90.02, 16.52
81.87, 117.08, 91.36, 16.52
80.88, 117.43, 90.23, 16.51
80.41, 117.86, 89.23, 16.51
81.34, 118.15, 90.20, 16.51
79.02, 116.95, 89.84, 16.51
80.24, 116.52, 90.73, 16.50
79.11, 116.60, 91.10, 16.50
79.73, 115.69, 87.10, 16.49
78.29, 115.61, 85.92, 16.49
81.36, 114.24, 85.29, 16.49
79.68, 113.94, 84.73, 16.49
77.76, 114.70, 81.63, 16.48
77.80, 115.18, 84.84, 16.48
80.15, 115.31, 83.76, 16.48
81.21, 115.47, 83.31, 16.47
